STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;DAPR;MDPR;PRCP;SNOW;SNWD;TAVG;TMAX;TMIN;TOBS
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;01/01/2014;;;0.43;6.4;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;02/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;03/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;04/01/2014;;;0.07;0.2;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;05/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;06/01/2014;;;0.81;8.2;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;08/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;09/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;10/01/2014;;;0.08;0.5;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;11/01/2014;;;0.41;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;13/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;14/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;15/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;16/01/2014;;;0.16;2.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;17/01/2014;;;0.07;1.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;18/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;19/01/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;20/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;21/01/2014;;;0.02;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;22/01/2014;;;0.02;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;23/01/2014;;;0.07;1.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;24/01/2014;;;0.04;0.3;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;25/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;26/01/2014;;;0.23;4.5;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;27/01/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;28/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;29/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;30/01/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;31/01/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;01/02/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;02/02/2014;;;0.61;3.5;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;03/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;04/02/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;05/02/2014;;;0.32;5.1;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;06/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;07/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;08/02/2014;;;0.08;1.5;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;09/02/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;10/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;11/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;12/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;13/02/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;14/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;15/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;16/02/2014;;;0.04;0.1;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;17/02/2014;;;0.24;3.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;18/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;19/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;20/02/2014;;;0.83;4.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;21/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;22/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;23/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;24/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;25/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;26/02/2014;;;0.01;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;27/02/2014;;;0.02;0.4;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;28/02/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;01/03/2014;;;0.35;5.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;02/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;03/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;04/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;05/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;06/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;08/03/2014;;;0.12;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;09/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;10/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;11/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;12/03/2014;;;0.77;6.5;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;13/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;14/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;15/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;16/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;17/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;18/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;19/03/2014;;;0.20;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;20/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;21/03/2014;;;0.18;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;22/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;23/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;24/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;25/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;26/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;27/03/2014;;;0.06;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;28/03/2014;;;0.02;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;29/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;30/03/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;31/03/2014;;;0.03;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;01/04/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;02/04/2014;;;0.00;0.0;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;03/04/2014;;;0.35;;;;;;
US1MIWS0020;ANN ARBOR 1.7 NNW, MI US;422.998;-837.392;257.3;04/04/2014;;;0.17;;;;;;
